seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.009104728698730469,7.733636856079102
42,2,2023,0.009543418884277344,7.453262567520142
42,3,2024,0.005188465118408203,5.8752641677856445
123,1,2022,0.006389141082763672,5.897320985794067
123,2,2023,0.005687236785888672,6.217705488204956
123,3,2024,0.005876064300537109,4.690309762954712
2024,1,2022,0.008030414581298828,6.892038106918335
2024,2,2023,0.00790548324584961,7.285031795501709
2024,3,2024,0.005888462066650391,6.356241464614868
