seed,outer_fold,test_year,mse,rmse,mae,r2,train_time,inference_time
42,1,2022,0.3919939696788788,0.6260942178928653,0.49069538712501526,0.38917309045791626,7.733636856079102,0.009104728698730469
42,2,2023,0.6265032291412354,0.7915195696514619,0.6189706921577454,-0.031844139099121094,7.453262567520142,0.009543418884277344
42,3,2024,1.287456750869751,1.1346615137871519,0.9402424097061157,-0.91135573387146,5.8752641677856445,0.005188465118408203
123,1,2022,0.393871009349823,0.6275914350513581,0.5118332505226135,0.3751647472381592,5.897320985794067,0.006389141082763672
123,2,2023,0.48649072647094727,0.6974888719334146,0.5470905303955078,0.22995680570602417,6.217705488204956,0.005687236785888672
123,3,2024,1.0093073844909668,1.004642913920646,0.8265316486358643,-0.4240061044692993,4.690309762954712,0.005876064300537109
2024,1,2022,0.378574013710022,0.6152836855549008,0.49018391966819763,0.4100847840309143,6.892038106918335,0.008030414581298828
2024,2,2023,0.6698678135871887,0.8184545275011854,0.6482990384101868,-0.10326516628265381,7.285031795501709,0.00790548324584961
2024,3,2024,1.2042180299758911,1.0973686846160187,0.8936119675636292,-0.787779688835144,6.356241464614868,0.005888462066650391
