seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout
42,16,0.0027324685838808938,32,64,1,5,0.30000000000000004
123,12,0.0011704488260566904,32,128,2,5,0.4
2024,16,0.002254848165197095,32,64,2,3,0.2
