seed,outer_fold,test_year,mse,rmse,mae,r2,train_time,inference_time
42,1,2022,0.4241993725299835,0.6513058978160596,0.5095463991165161,0.3216235637664795,9.013381481170654,0.008927106857299805
42,2,2023,0.4917925298213959,0.7012792096029911,0.5345383882522583,0.245794415473938,8.836087465286255,0.007439851760864258
42,3,2024,1.2494227886199951,1.1177758221665,0.9366804361343384,-0.733884334564209,8.620582103729248,0.006801605224609375
123,1,2022,0.42838624119758606,0.6545122162325056,0.5085629820823669,0.3324645757675171,5.467248201370239,0.009479999542236328
123,2,2023,0.5295228362083435,0.7276831976954968,0.5461215376853943,0.12788158655166626,7.660031795501709,0.007822036743164062
123,3,2024,1.0521109104156494,1.025724578244886,0.8250408172607422,-0.5619617700576782,5.580653429031372,0.005507707595825195
2024,1,2022,0.45505663752555847,0.6745788593823249,0.5390620231628418,0.29090529680252075,6.329732656478882,0.0052111148834228516
2024,2,2023,0.6117997765541077,0.7821763078450457,0.6020419597625732,-0.007627606391906738,6.357701778411865,0.006954669952392578
2024,3,2024,1.0201659202575684,1.0100326332636824,0.8139588832855225,-0.5145362615585327,6.634087085723877,0.005534172058105469
42,1,2022,0.1357893943786621,0.3684961253238114,0.2653047442436218,0.7845842838287354,7.864829063415527,0.009827375411987305
42,2,2023,0.1747046560049057,0.417976860609419,0.3062550723552704,0.7234682440757751,7.369656324386597,0.011350393295288086
42,3,2024,0.20982061326503754,0.458061800704924,0.33575719594955444,0.7039694786071777,11.1417715549469,0.02722477912902832
123,1,2022,0.16290372610092163,0.40361333736748795,0.29916417598724365,0.7461543083190918,10.756030321121216,0.012337923049926758
123,2,2023,0.18310502171516418,0.4279077257016566,0.30274444818496704,0.6984280347824097,12.97088623046875,0.012758493423461914
123,3,2024,0.21460872888565063,0.4632588141478267,0.34139445424079895,0.6813923120498657,16.169957876205444,0.0078582763671875
2024,1,2022,0.1433098316192627,0.378562850289437,0.26191243529319763,0.7726538777351379,9.100642681121826,0.010827302932739258
2024,2,2023,0.165510356426239,0.40682964054532583,0.29086580872535706,0.7380214929580688,8.413630723953247,0.011323928833007812
2024,3,2024,0.1918526440858841,0.4380098675667982,0.3225785791873932,0.7293199896812439,9.74713683128357,0.012499094009399414
