seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.0036902427673339844,3.695502281188965
42,2,2023,0.0033528804779052734,2.9168496131896973
42,3,2024,0.0026092529296875,4.386795997619629
123,1,2022,0.00682520866394043,5.960360765457153
123,2,2023,0.0052030086517333984,9.833233118057251
123,3,2024,0.005960702896118164,10.316346645355225
2024,1,2022,0.0028791427612304688,3.3948311805725098
2024,2,2023,0.0060329437255859375,3.0735061168670654
2024,3,2024,0.002902984619140625,2.0702192783355713
