seed,window_size,learning_rate,batch_size,hidden_size,num_layers,dropout
42,16,0.0007456514906831361,32,128,2,0.30000000000000004
123,4,0.00031759362539397865,16,128,3,0.2
2024,16,0.00508149736122654,32,128,1,0.2
