Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
CONVLSTM,0.6581411457216405,0.01761772278594727,0.47301567863360755,0.014764046176253702,0.4575932661866368,0.02077804718251064
DCRNN,0.3775570076796006,0.0015001286477995225,0.26086469807194446,0.001839016490574449,0.8217716190446103,0.003898497405630079
LSTM,7.254667994641687,0.33683453908315014,4.046782111274713,0.13706294554062623,0.019608027899591,0.02478905001233438
STGNN,7.237095998926093,0.08962855018445758,4.048328293417867,0.060917268233190144,-0.0034090792404409334,0.09341211430294297
Transformer,4.05437081586258,0.30415882290194485,2.1026915363539413,0.1312400127275812,0.6819537112109076,0.06749922453884788
