seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.03132057189941406,44.26163983345032
42,2,2023,0.029301166534423828,47.35677433013916
42,3,2024,0.029184579849243164,50.700429916381836
123,1,2022,0.035057783126831055,53.185205936431885
123,2,2023,0.0346224308013916,51.49778914451599
123,3,2024,0.023166656494140625,68.34446668624878
2024,1,2022,0.02941131591796875,49.4032781124115
2024,2,2023,0.029364347457885742,31.421835899353027
2024,3,2024,0.029933929443359375,38.898619174957275
