seed,RMSE,MAE,R2
42,0.4038592287084048,0.28347048173075245,0.8115721627551389
123,0.4073381935811001,0.28552115044932874,0.7977646671961407
2024,0.4083938886187735,0.29102893913581274,0.8036352363405679
