seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag
42,16,0.0010335240648320424,32,0.30000000000000004,64,2,2,64,5
123,16,0.0059118127026734375,32,0.2,32,2,1,256,3
2024,12,0.0005053090140970422,32,0.2,128,2,3,128,6
