feature,shap_mean
inc_lag_1,0.0017861681286203846
humedad_lag_12,0.00037223649417154995
precip_lag_12,0.0003197382496554984
inc_lag_4,0.0002834089837106397
inc_lag_2,0.00028236850584688404
week_sin,0.00027079579602032203
precip_lag_8,0.0002329668698164433
humedad_lag_20,0.00021837254680203322
precip_lag_1,0.000218269682131429
week_cos,0.00020876418920938957
inc_lag_12,0.00020483556016144674
inc_lag_8,0.00019941282967631636
humedad_lag_4,0.00018169084360604673
inc_lag_3,0.00016473471191435175
inc_lag_20,0.00013128508596891528
humedad_lag_2,0.00012743336556250907
humedad_lag_8,0.00012581349250385794
humedad_lag_1,0.00012578337320411212
precip_lag_2,0.00011024192818546237
precip_lag_4,8.46877670530218e-05
precip_lag_20,8.450182859469925e-05
temp_lag_12,4.715425063146008e-05
temp_lag_4,2.995961442992883e-05
temp_lag_1,2.368460430744193e-05
temp_lag_2,2.1500877898459946e-05
temp_lag_20,1.7054921561247167e-05
temp_lag_8,1.690136522458302e-05
poblacion,0.0
prop_rural,0.0
