seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag
42,8,0.0007097909088756151,32,0.2,32,2,2,128,3
123,8,0.0005273541426900302,16,0.2,32,8,3,256,3
2024,12,0.0016581074642144887,32,0.3,32,4,2,256,3
