seed,outer_fold,test_year,train_time,inference_time,real_RMSE,real_MAE,real_MAPE,real_sMAPE,real_NSE,real_KGE,real_SkillScore,real_RMSE_top10,real_Pearson_r,real_Bias,log_RMSE,log_MAE,log_MAPE,log_sMAPE,log_NSE,log_KGE,log_SkillScore,log_RMSE_top10,log_Pearson_r,log_Bias
42,1,2022,55.77392625808716,0.30536699295043945,2.5393908479098855,1.1290286779403687,25.496622,23.265856,0.700019,0.640578033006084,0.7000190101515291,7.189457104471189,0.8562267622959436,-0.36234796047210693,0.3430763492940471,0.23969650268554688,13.0345,12.233777,0.8117728,0.8283733894188609,0.8117728388913977,0.5108773105644691,0.9021205956968701,0.012015566229820251
42,2,2023,51.23663783073425,0.32157039642333984,3.6578445218072533,1.7978734970092773,28.009626,26.787025,0.65680695,0.6113932917424838,0.6568069458554107,10.182246626472208,0.8348982888594707,-0.9199084639549255,0.3890895803441206,0.27719226479530334,12.362634,11.943119,0.76782954,0.8143919458314226,0.7678295113240413,0.6020484051808344,0.8818930470258453,-0.07954217493534088
42,3,2024,38.37848782539368,0.29976773262023926,6.421500461914882,3.525405168533325,31.575085,30.724234,0.59094703,0.4721746893629478,0.5909470251406836,17.639865531149358,0.8668151977068246,-2.654454231262207,0.4432246133620496,0.32043999433517456,11.884003,11.447147,0.72737956,0.7677222113182396,0.7273795252680673,0.6504965114602588,0.8752202800899604,-0.16029804944992065
123,1,2022,91.1036012172699,2.95491361618042,2.5294750253983076,1.130075216293335,26.448458,23.776201,0.7023572,0.6402680176317831,0.7023571698891293,7.114068998974354,0.8585133141556999,-0.31080979108810425,0.34846807910183075,0.24510732293128967,13.499755,12.655312,0.80581003,0.8358171454328699,0.8058100567889308,0.4896950814026018,0.8984624830213098,0.02178238146007061
123,2,2023,119.78957843780518,0.3808891773223877,3.677380918108718,1.7956204414367676,29.916847,26.824593,0.6531312,0.6059927772937546,0.6531311961702921,10.269961760541676,0.8312463219918743,-0.6864217519760132,0.3877784197923294,0.2775038182735443,12.846363,12.02931,0.7693916,0.8113235044259771,0.7693916188373476,0.5687067602300127,0.8777201399145567,-0.019252030178904533
123,3,2024,124.4112229347229,0.3426074981689453,5.5159837643921765,3.1584699153900146,31.936651,29.532423,0.69817686,0.6515984596545754,0.6981768984628811,14.292619649330549,0.8608262057396284,-1.5314325094223022,0.4249819155660143,0.30724406242370605,11.713459,11.203177,0.74935925,0.8461349785788084,0.7493592799666707,0.48778268919720286,0.8741300074063864,-0.09377950429916382
2024,1,2022,38.3480486869812,0.29549217224121094,2.6156807732873983,1.1405569314956665,23.195885,22.924917,0.6930013,0.5681727341426227,0.6930012904505134,7.521345661779203,0.8761860578032814,-0.637538731098175,0.3455152270360889,0.23639369010925293,12.065467,11.80025,0.8106148,0.8214320406834642,0.810614861558596,0.5306000099093698,0.9047719294502333,-0.06169872730970383
2024,2,2023,41.275668144226074,0.313035249710083,3.5703755379418554,1.7216370105743408,27.90058,26.201756,0.63442886,0.5650234415298652,0.6344288464216542,10.090603648068925,0.8338023812886959,-0.900475263595581,0.3826007257243291,0.27103567123413086,12.328523,11.754136,0.7682968,0.8095576623829004,0.7682967536215403,0.5934024596754421,0.8808967241631868,-0.06738586723804474
2024,3,2024,33.94003415107727,0.29485130310058594,6.806129206486652,3.980259418487549,34.801903,37.58161,0.5029588,0.3843522375000833,0.502958777513415,18.44316898414517,0.8711960886774931,-3.5352697372436523,0.5080518891874467,0.39306533336639404,14.06793,14.180024,0.6358297,0.7333248424907444,0.635829711707574,0.7704666184701641,0.8708464703498949,-0.2911454439163208
