seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag
42,16,0.0031249118161891403,32,0.2,32,8,1,256,3
123,16,0.0032644777074517847,32,0.3,64,8,1,256,4
2024,12,0.0019336381600520113,32,0.3,32,2,2,256,2
