seed,outer_fold,test_year,epoch,train_loss,val_loss
42,1,2022,1,0.7683549145857493,0.3720921128988266
42,1,2022,2,0.4425340384244919,0.2760931998491287
42,1,2022,3,0.3783257663249969,0.2360539585351944
42,1,2022,4,0.374436088403066,0.2305409461259842
42,1,2022,5,0.3320281893014908,0.2252136766910553
42,1,2022,6,0.3297600661714872,0.22573576122522354
42,1,2022,7,0.31923023064931233,0.22803203761577606
42,1,2022,8,0.3146422977248828,0.2365797609090805
42,1,2022,9,0.30324084907770155,0.23048404604196548
42,1,2022,10,0.29369441270828245,0.23199939727783203
42,1,2022,11,0.28873688777287804,0.23338843882083893
42,1,2022,12,0.28473537415266037,0.23479905724525452
42,1,2022,13,0.2814561667541663,0.22853603959083557
42,1,2022,14,0.27578742330272993,0.22410368919372559
42,1,2022,15,0.27319136386116344,0.23571555316448212
42,1,2022,16,0.28062856644392015,0.241357259452343
42,1,2022,17,0.2869090134898821,0.230540931224823
42,1,2022,18,0.2846164844930172,0.23781472444534302
42,1,2022,19,0.27120429078737895,0.23259158432483673
42,1,2022,20,0.2936838835477829,0.2937084585428238
42,1,2022,21,0.27266472453872365,0.23902393877506256
42,1,2022,22,0.2668489322066307,0.24524983763694763
42,1,2022,23,0.2834189919133981,0.2427569106221199
42,1,2022,24,0.2676277781526248,0.24688602983951569
42,1,2022,25,0.2693095229566097,0.22980472445487976
42,1,2022,26,0.2628253283600012,0.21887679398059845
42,1,2022,27,0.2582297995686531,0.22564178705215454
42,1,2022,28,0.25711955428123473,0.22851896286010742
42,1,2022,29,0.2535492236415545,0.22511670738458633
42,1,2022,30,0.2555025465786457,0.22020165622234344
42,1,2022,31,0.2522206959625085,0.22253884375095367
42,1,2022,32,0.2507628540198008,0.22692230343818665
42,1,2022,33,0.24869940131902696,0.22546639293432236
42,1,2022,34,0.24683698043227195,0.22531503438949585
42,1,2022,35,0.24694501608610153,0.225563682615757
42,1,2022,36,0.24741369485855103,0.22269602119922638
42,1,2022,37,0.24605249638358753,0.22187688201665878
42,1,2022,38,0.24206761345267297,0.21915464103221893
42,1,2022,39,0.24279350837071736,0.22298609465360641
42,1,2022,40,0.2415114184220632,0.2238653004169464
42,1,2022,41,0.2389011693497499,0.22114840894937515
42,1,2022,42,0.23790991703669231,0.221137635409832
42,1,2022,43,0.2403437410791715,0.22031646221876144
42,1,2022,44,0.2373213251431783,0.22337274253368378
42,1,2022,45,0.2364441931247711,0.22448576986789703
42,1,2022,46,0.23656798526644707,0.2204362452030182
42,2,2023,1,0.6437498796731234,0.5535234212875366
42,2,2023,2,0.40278903767466545,0.44591058790683746
42,2,2023,3,0.3492975360713899,0.40858329832553864
42,2,2023,4,0.3641560599207878,0.4071592092514038
42,2,2023,5,0.3568966961465776,0.43312542140483856
42,2,2023,6,0.33680602815002203,0.3904291093349457
42,2,2023,7,0.30899773351848125,0.37461036443710327
42,2,2023,8,0.3073507007211447,0.3635561615228653
42,2,2023,9,0.3118142304010689,0.3595725893974304
42,2,2023,10,0.3130826042033732,0.3631990849971771
42,2,2023,11,0.30370600149035454,0.3561113625764847
42,2,2023,12,0.2935052257962525,0.34658457338809967
42,2,2023,13,0.2877388843335211,0.3408706486225128
42,2,2023,14,0.2836151886731386,0.3352718651294708
42,2,2023,15,0.28191961254924536,0.338264137506485
42,2,2023,16,0.2791779898107052,0.3314659297466278
42,2,2023,17,0.2810143551323563,0.3456168621778488
42,2,2023,18,0.27731165289878845,0.34328313171863556
42,2,2023,19,0.28032023273408413,0.3316204845905304
42,2,2023,20,0.2835280862636864,0.34169504046440125
42,2,2023,21,0.28116606059484184,0.34390050172805786
42,2,2023,22,0.2762445406988263,0.36855851113796234
42,2,2023,23,0.2986455811187625,0.33945712447166443
42,2,2023,24,0.27371011953800917,0.333737850189209
42,2,2023,25,0.26510760211385787,0.32944659888744354
42,2,2023,26,0.2661123094148934,0.35437795519828796
42,2,2023,27,0.27407061075791717,0.33597198128700256
42,2,2023,28,0.2619049376808107,0.3313455283641815
42,2,2023,29,0.25982470507733524,0.3352748304605484
42,2,2023,30,0.25637563318014145,0.3243093192577362
42,2,2023,31,0.257057458627969,0.3317813128232956
42,2,2023,32,0.26532600447535515,0.37016674876213074
42,2,2023,33,0.2708831555210054,0.3438885807991028
42,2,2023,34,0.26206358103081584,0.376266285777092
42,2,2023,35,0.2758373392280191,0.31761083006858826
42,2,2023,36,0.2543777159880847,0.31501542031764984
42,2,2023,37,0.2620459175668657,0.3731847256422043
42,2,2023,38,0.2757167636882514,0.31608133018016815
