seed,outer_fold,test_year,train_time,inference_time,real_RMSE,real_MAE,real_MAPE,real_sMAPE,real_NSE,real_KGE,real_SkillScore,real_RMSE_top10,real_Pearson_r,real_Bias,log_RMSE,log_MAE,log_MAPE,log_sMAPE,log_NSE,log_KGE,log_SkillScore,log_RMSE_top10,log_Pearson_r,log_Bias
42,1,2022,12.389583587646484,0.29468512535095215,3.888348997574796,1.86670982837677,44.333492,40.568478,0.3462568,0.27439092871206694,0.34625679982336754,11.278464694679885,0.663037777249812,-0.870383620262146,0.5374976124821356,0.4246622622013092,23.628302,21.781641,0.5498141,0.6112918783623837,0.5498141346817753,0.8991438369633945,0.7431396919022225,-0.02901061251759529
42,2,2023,23.203290939331055,0.2777078151702881,4.569225631983669,2.904557466506958,59.071815,51.244526,0.31176174,0.4523919497500435,0.311761727789686,11.48852563706399,0.5788182805262938,-0.6503635048866272,0.6755017270278595,0.5468716025352478,25.64221,24.070606,0.24847454,0.5184393949906108,0.24847453975658906,0.9715117803066503,0.5581218630574947,-0.011553204618394375
42,3,2024,20.143227577209473,0.2801687717437744,7.6179514340479795,4.953333854675293,64.19992,49.36945,0.26899415,0.2625411074536782,0.2689941242960092,19.7270188684834,0.5895382133901803,-2.050229787826538,0.6677156604676266,0.528164267539978,21.261995,18.735485,0.3381006,0.4212828187874428,0.3381006010443184,0.9162590175252575,0.5819985922674776,-0.014304718002676964
123,1,2022,8.585593700408936,0.2737143039703369,3.936387525562468,1.8611966371536255,45.100918,40.553574,0.33000368,0.2526448445945422,0.3300037029979519,11.479830095582317,0.6582943266158208,-0.8826307058334351,0.5413092632313649,0.4250514805316925,24.058167,21.811312,0.54340655,0.5849444660491208,0.543406531881423,0.909594513921541,0.740218245499411,-0.0176162701100111
123,2,2023,22.11437702178955,0.25905370712280273,4.514008863109969,2.8318963050842285,58.63461,50.441383,0.32829523,0.4398398153013524,0.328295240226847,11.450725975509629,0.5923467440385992,-0.7682158946990967,0.6768325169934188,0.5394182801246643,25.526133,23.869238,0.24551046,0.5116191228617707,0.24551049788912072,0.9364472518338789,0.554516190084034,-0.02845516800880432
123,3,2024,15.295198678970337,0.2612571716308594,7.918770145911504,4.892956733703613,59.058605,48.286747,0.21012211,0.18207821840137217,0.2101221366279521,21.266066995774043,0.6060299791834444,-2.6498870849609375,0.6653998428428242,0.5173135995864868,20.583166,18.359156,0.3426839,0.367500267835828,0.34268392965756145,1.051455200071726,0.5955936192113744,-0.060828547924757004
2024,1,2022,8.299155712127686,0.3186497688293457,4.340583140842193,2.0740232467651367,50.95518,45.674942,0.15459806,0.0624710063654309,0.15459808303894884,12.912508059237865,0.5301533128962582,-1.22178053855896,0.6220914157419882,0.48619285225868225,27.057508,24.539309,0.38606846,0.4290933018046009,0.3860684824893569,1.1711208205501211,0.6342038093753208,-0.08674409240484238
2024,2,2023,37.44561767578125,0.3238205909729004,4.657453547853702,2.7503488063812256,55.371876,46.818222,0.37792724,0.4027227197260427,0.3779272367594235,12.343496585610755,0.643712574050163,-1.031201720237732,0.6290481596826787,0.4973655343055725,23.49236,21.660883,0.37366265,0.5475633273155143,0.3736626189401202,0.8896413691854397,0.6255036302476558,-0.041052721440792084
2024,3,2024,34.82624101638794,0.2978246212005615,8.595885743132255,5.571832656860352,68.00032,53.281086,0.2071824,0.20804755583377277,0.20718237132388806,22.34937169772795,0.55884804220585,-2.7718019485473633,0.7170690700509644,0.5738837718963623,22.486252,20.055073,0.27454525,0.3774430312161432,0.2745452161247419,1.0088535225465236,0.5346393274746714,-0.0772610679268837
