feature,shap_mean,pct
inc_lag_1,0.0007790311493803573,35.71616063138862
inc_lag_2,0.00019370872949237174,8.880944110841739
inc_lag_3,0.00013504330762988083,6.191316574875416
inc_lag_4,0.0001191000543437318,5.460367888410259
humedad_lag_20,0.00010706509676871872,4.908602431684926
week_cos,9.88074343111519e-05,4.530014234012941
inc_lag_20,8.751594848969704e-05,4.01233464997204
inc_lag_12,8.347728372309324e-05,3.827174403613362
inc_lag_8,7.92859709282011e-05,3.6350157188703562
precip_lag_20,7.772530968187462e-05,3.5634642439270032
week_sin,6.734861096781352e-05,3.087724809900882
precip_lag_1,4.432392267351689e-05,2.0321143041324627
humedad_lag_12,4.412898052943749e-05,2.0231768117904623
precip_lag_4,4.2912172368063885e-05,1.9673899337127723
precip_lag_2,3.8386614395195406e-05,1.7599071448227552
precip_lag_12,3.6908416337647605e-05,1.692136351176856
humedad_lag_1,2.7929163781115927e-05,1.2804654867781973
precip_lag_8,2.693717880040776e-05,1.234986053840145
humedad_lag_8,2.206213961915723e-05,1.011480636090995
humedad_lag_4,1.5609911570709327e-05,0.7156660032717349
humedad_lag_2,1.53279407812045e-05,0.7027385176130109
temp_lag_12,1.3220096828400524e-05,0.6061004136499935
temp_lag_20,7.665780187047573e-06,0.35145223235718137
temp_lag_8,5.7292741503127415e-06,0.26266944013290566
temp_lag_1,4.16799013062529e-06,0.19108941296360546
temp_lag_4,3.9477234111633145e-06,0.18099086743007906
temp_lag_2,3.8065104794961566e-06,0.17451669273929143
poblacion,0.0,0.0
prop_rural,0.0,0.0
