feature,shap_mean,pct
inc_lag_1,0.0014291444742798808,40.66117649044342
week_sin,0.000284622599298706,8.097914487676206
inc_lag_2,0.00027320555958884764,7.773083601089412
inc_lag_4,0.00025004203109205955,7.11404853689557
inc_lag_3,0.0001801809832541198,5.1264031678875694
week_cos,0.00017776858675207124,5.057767084062558
inc_lag_20,0.00016032864287155457,4.561576076875245
inc_lag_8,0.0001512941451366663,4.304531870700145
inc_lag_12,0.00012394778007315498,3.526489205153813
humedad_lag_12,9.038304358528454e-05,2.571525099879422
humedad_lag_8,4.823501447650611e-05,1.3723542104702653
precip_lag_12,4.637500850260161e-05,1.31943441646811
humedad_lag_20,3.727381934020436e-05,1.0604927450939723
precip_lag_20,3.593236709473441e-05,1.0223265362269232
precip_lag_8,3.509154354888125e-05,0.9984039201369838
precip_lag_2,3.383632650818863e-05,0.9626912245040722
precip_lag_1,3.153472033185316e-05,0.8972072817455016
humedad_lag_4,2.3871560485965463e-05,0.6791795731577294
humedad_lag_1,2.2822425966701032e-05,0.6493302159949257
precip_lag_4,2.1467602915926897e-05,0.6107835888538129
temp_lag_8,1.4488907090047699e-05,0.41222984725803946
humedad_lag_2,1.4201050805641832e-05,0.40403992986707177
temp_lag_12,6.99740373674489e-06,0.19908600805250143
temp_lag_20,6.225236571451108e-06,0.17711676284798397
temp_lag_1,5.858119208812986e-06,0.16667175596198916
temp_lag_2,4.833970616711466e-06,0.1375332836764197
temp_lag_4,4.801276116479423e-06,0.13660307902032864
poblacion,0.0,0.0
prop_rural,0.0,0.0
