seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.4377009868621826,11.164043426513672
42,2,2023,0.34328269958496094,9.510688304901123
42,3,2024,0.3747751712799072,9.045956373214722
123,1,2022,0.34537482261657715,7.952629327774048
123,2,2023,3.9125003814697266,8.999703645706177
123,3,2024,0.340242862701416,8.068055391311646
2024,1,2022,0.44110679626464844,8.165656328201294
2024,2,2023,0.3638041019439697,12.593460083007812
2024,3,2024,0.37422800064086914,10.955414056777954
