seed,outer_fold,test_year,epoch,train_loss,val_loss
42,1,2022,1,0.5880000789960226,0.25255975127220154
42,1,2022,2,0.3081515113512675,0.16120844334363937
42,1,2022,3,0.26182984560728073,0.16490396857261658
42,1,2022,4,0.23330878218015036,0.14751465618610382
42,1,2022,5,0.2102166160941124,0.12860897928476334
42,1,2022,6,0.180059581498305,0.12537721171975136
42,1,2022,7,0.1614797939856847,0.11928538978099823
42,1,2022,8,0.15279402484496435,0.12080733105540276
42,1,2022,9,0.14709261332949003,0.12995826825499535
42,1,2022,10,0.15089147637287775,0.1362522467970848
42,1,2022,11,0.16667339503765105,0.1277737058699131
42,1,2022,12,0.15016185790300368,0.12253300845623016
42,1,2022,13,0.1464450975259145,0.11762918904423714
42,1,2022,14,0.14107323090235394,0.11520646512508392
42,1,2022,15,0.1522024174531301,0.14012090116739273
42,1,2022,16,0.14108001788457233,0.1224481537938118
42,1,2022,17,0.13364036877950033,0.1304178461432457
42,1,2022,18,0.15662611226240794,0.1166144572198391
42,1,2022,19,0.14385264068841935,0.11330309137701988
42,1,2022,20,0.13400829806923867,0.10758944600820541
42,1,2022,21,0.12878331840038298,0.10895432904362679
42,1,2022,22,0.12652939235170682,0.11277587711811066
42,1,2022,23,0.12238468900322914,0.11629281938076019
42,1,2022,24,0.12108684132496515,0.11321096867322922
42,1,2022,25,0.12021536156535148,0.11134374514222145
42,1,2022,26,0.11852421884735426,0.11722215265035629
42,1,2022,27,0.12297655592362086,0.1252932921051979
42,1,2022,28,0.12269134819507599,0.13166474923491478
42,1,2022,29,0.11736438473065694,0.12089930847287178
42,1,2022,30,0.12106607307990393,0.12756778299808502
42,1,2022,31,0.1371457000573476,0.11428959295153618
42,1,2022,32,0.11856649840871493,0.11123213171958923
42,1,2022,33,0.11335071747501692,0.112371277064085
42,1,2022,34,0.11197654853264491,0.11473371833562851
42,1,2022,35,0.10893914078672727,0.11516975238919258
42,1,2022,36,0.10785905743638674,0.11570591107010841
42,1,2022,37,0.1079644945760568,0.11558745428919792
42,1,2022,38,0.10770178859432539,0.11536641418933868
42,1,2022,39,0.1073553482691447,0.11511562019586563
42,1,2022,40,0.10696830873688062,0.11532660201191902
42,2,2023,1,0.566046248190105,0.3223077207803726
42,2,2023,2,0.2717104759067297,0.20933681726455688
42,2,2023,3,0.2249541999772191,0.19088885933160782
42,2,2023,4,0.19881953625008464,0.17242418229579926
42,2,2023,5,0.1716735572554171,0.15415384620428085
42,2,2023,6,0.1628405994269997,0.15784385800361633
42,2,2023,7,0.15362863196060061,0.15376421809196472
42,2,2023,8,0.14768981467932463,0.1444573625922203
42,2,2023,9,0.14505138993263245,0.14383817464113235
42,2,2023,10,0.14106477261520922,0.1326950192451477
42,2,2023,11,0.137253895169124,0.131709985435009
42,2,2023,12,0.1333113454747945,0.12621426582336426
42,2,2023,13,0.1294249463826418,0.1276349164545536
42,2,2023,14,0.12678990047425032,0.1334557980298996
42,2,2023,15,0.1276121528353542,0.13638200610876083
42,2,2023,16,0.1275017554871738,0.1621193066239357
42,2,2023,17,0.13828211603686213,0.17681027203798294
42,2,2023,18,0.1440558978356421,0.15585587918758392
42,2,2023,19,0.13926695752888918,0.15275263041257858
42,2,2023,20,0.1413041646592319,0.1361994780600071
42,2,2023,21,0.14144946541637182,0.125413678586483
