seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout
42,12,0.003482846706526885,32,32,1,3,0.4
123,16,0.0007106578875225894,32,64,2,7,0.4
2024,8,0.0010475159731022886,32,32,1,3,0.4
