seed,outer_fold,test_year,mse,rmse,mae,r2,train_time,inference_time
42,1,2022,0.12069594860076904,0.3474132245622913,0.23665830492973328,0.8119248151779175,33.736411809921265,0.010324716567993164
42,2,2023,0.1543886363506317,0.39292319395860525,0.28421875834465027,0.7457236051559448,25.675913095474243,0.012424468994140625
42,3,2024,0.32179954648017883,0.5672737844111773,0.45834195613861084,0.5222570896148682,52.22783637046814,0.007558345794677734
123,1,2022,0.11915823817253113,0.3451930447916515,0.23623612523078918,0.814320981502533,28.74556589126587,0.012247323989868164
123,2,2023,0.1662290394306183,0.40771195644795394,0.28496402502059937,0.7262225151062012,33.77949523925781,0.010024547576904297
123,3,2024,0.21684595942497253,0.4656672196160822,0.3579435646533966,0.6780709028244019,38.49383234977722,0.008226633071899414
2024,1,2022,0.114686980843544,0.338654663106156,0.22905179858207703,0.8180610537528992,13.617428302764893,0.004941463470458984
2024,2,2023,0.13549840450286865,0.368101079192752,0.25156188011169434,0.7855259776115417,11.404793977737427,0.005705833435058594
2024,3,2024,0.2333666980266571,0.4830804260437977,0.3681187331676483,0.6707488894462585,20.49404287338257,0.005539417266845703
