seed,outer_fold,test_year,epoch,train_loss,val_loss,epoch_time
42,1,2022,1,0.8387100080649058,0.5625098049640656,0.5070993900299072
42,1,2022,2,0.3892618497212728,0.2841719090938568,0.48442864418029785
42,1,2022,3,0.2792968342701594,0.14032360911369324,0.4789252281188965
42,1,2022,4,0.19210854868094127,0.13088969141244888,0.4793860912322998
42,1,2022,5,0.16478558480739594,0.11258792132139206,0.48129940032958984
42,1,2022,6,0.1559427060186863,0.14343243837356567,0.48621582984924316
42,1,2022,7,0.15172571440537772,0.12838391214609146,0.4863731861114502
42,1,2022,8,0.17001534005006155,0.17091984301805496,0.4767272472381592
42,1,2022,9,0.15113604962825775,0.14926889538764954,0.4844193458557129
42,1,2022,10,0.15583366056283315,0.11819738522171974,0.48289060592651367
42,1,2022,11,0.16354979823033014,0.12363050878047943,0.486159086227417
42,1,2022,12,0.16353831191857657,0.11544743925333023,0.48282551765441895
42,1,2022,13,0.15294966946045557,0.1296844407916069,0.4829685688018799
42,1,2022,14,0.15591046114762624,0.1192164495587349,0.4837942123413086
42,1,2022,15,0.14338381439447404,0.13050136342644691,0.4800550937652588
42,1,2022,16,0.14316492428382238,0.1070299781858921,0.4799473285675049
42,1,2022,17,0.14589838534593583,0.10253593325614929,0.48161745071411133
42,1,2022,18,0.13527045001586277,0.10811850056052208,0.4802427291870117
42,1,2022,19,0.13897573798894883,0.12526634708046913,0.47670722007751465
42,1,2022,20,0.13064745763937632,0.1199185699224472,0.4832758903503418
42,1,2022,21,0.13473031371831895,0.10417899861931801,0.480029821395874
42,1,2022,22,0.13182247976462047,0.11353480815887451,0.4848759174346924
42,1,2022,23,0.1284620446463426,0.10368301719427109,0.4910399913787842
42,1,2022,24,0.1274935245513916,0.11969326063990593,0.4883894920349121
42,1,2022,25,0.13776290913422903,0.17037151753902435,0.49173545837402344
42,1,2022,26,0.1474375737210115,0.11856555193662643,0.4914975166320801
42,1,2022,27,0.13372480124235153,0.1038561463356018,0.49147653579711914
42,1,2022,28,0.12732595975200336,0.1014896109700203,0.49466586112976074
42,1,2022,29,0.12654662330945332,0.0992264449596405,0.4903225898742676
42,1,2022,30,0.1348634014527003,0.12178723514080048,0.4893982410430908
42,1,2022,31,0.1251878653963407,0.10733841732144356,0.48339343070983887
42,1,2022,32,0.12205103660623233,0.11584124714136124,0.4907865524291992
42,1,2022,33,0.11869558369119962,0.11009958386421204,0.4933295249938965
42,1,2022,34,0.12103836337725321,0.10831302404403687,0.48802947998046875
42,1,2022,35,0.1175060455997785,0.16867606341838837,0.4917418956756592
42,1,2022,36,0.1257505990564823,0.09838177636265755,0.47649645805358887
42,1,2022,37,0.12141073967019717,0.09852521494030952,0.47972798347473145
42,1,2022,38,0.11748258570830027,0.10648615658283234,3.381819009780884
42,1,2022,39,0.13076873968044916,0.13770271837711334,0.5218045711517334
42,1,2022,40,0.11876528039574623,0.11202901601791382,0.5081346035003662
42,1,2022,41,0.11955973083774249,0.1222747452557087,0.5156850814819336
42,1,2022,42,0.11925156712532044,0.1322222612798214,0.5189559459686279
