seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.005401611328125,6.6375837326049805
42,2,2023,0.005869388580322266,9.243161678314209
42,3,2024,0.005399942398071289,31.816859006881714
123,1,2022,0.01006007194519043,21.20204472541809
123,2,2023,0.009406805038452148,22.264010190963745
123,3,2024,0.007544279098510742,56.231975078582764
2024,1,2022,0.004515409469604492,8.66731309890747
2024,2,2023,0.0040247440338134766,9.954697847366333
2024,3,2024,0.004570722579956055,10.704608678817749
